Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C2, C3, C42, C46, C68",1206,7,CL31B105KCHNNNE,C13832
"C10, C20, C21, C22, C29, C31, C34, C43, C48, C51, C55, C56, C57, C64, C66, C72, C73, C74, C75, C76, C77, C78, C80",0402,23,0402B104K6R3CT,C424821
"C11, C12, C13, C14, C27, C35",CP_Radial_D12.5mm_P5.00mm,6,EKYC800ELL471MK25S,
"C15, C30, C32, C4, C44, C45, C47, C49, C50, C67, C81, C88, C90",0805,13,CL21B104KCFNNNE,C28233
"C16, C23, C41, C52, C53, C54, C63, C65, C9",0402,9,CL05B105KQ5NQNC,C307427
"C19, C60, C61, C62, C94, C95",0402,6,0402B472K500NT,C1538
"C24, C25, C26, C28, C33, C38, C39, C58, C59, C89, C91",0603,11,~,
"C37, C40, C7, C71, C79, C8, C93",0402,7,CL05A475MP5NRNC,C23733
C5,0402,1,CL05B104KO5NNNC,C1525
"C6, C82, C86",1206,3,CL31A476MPHNNNE,C96123
"C69, C70",0402,2,0402CG330J500NT,C1549
"C83, C84",0402,2,CL05A225MQ5NSNC,C12530
CC1,CoolingChannel,1,~,
"D1, D6",0805,2,YELLOW,C2296
D2,SOT-23-6,1,USBLC6-2SC6,C7519
D3,D_SMA,1,SS54,C22452
D4,0805,1,RED,C84256
D5,0805,1,GREEN,C2297
HS1,ICK_S,1,Heatsink,
"J1, J2",AMASS_XT60-M,2,XT60-M,
J10,JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical,1,Conn_01x06,
J11,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
J12,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C2988369
J14,FanPinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"J3, J4, J5",Wuerth_REDCUBE-THR_WP-THRBU_74650073_THR,3,Phase_U,
J6,FTSH10701LDVKTR,1,FTSH-107-01-L-DV-K-TR,C5307809
J7,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Conn_01x03,
J8,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J9,JST_EH_B7B-EH-A_1x07_P2.50mm_Vertical,1,Conn_01x07,
L1,IND_XAL60XX-240H_COC,1,XAL6060-103ME,C2911576
L2,0603,1,FHW0603UC039JST,C295697
"Q1, Q2, Q3, Q4, Q5, Q6",IFX-PG-TSON-6-2-V,6,IGC019S06S1XTMA1,C43313313
Q7,SOT-23_3,1,AO3400A,C20917
Q8,SOT-23_3,1,AO3400A,
R1,0402,1,0402WGF1003TCE,C25741
"R10, R20, R28, R4",0603,4,0603WAF3902T5E,C23153
"R11, R21, R34, R35, R36, R41, R42",0402,7,0402WGF1002TCE,C25744
"R12, R26, R29, R30, R31, R33, R5, R56, R57",0402,9,0402WGF2201TCE,C25879
"R15, R16, R22, R23, R8, R9",0402,6,CRCW04021R00FKEDHP,C2077491
"R19, R27, R32, R7",0402,4,0402WGF0000TCE,C17168
R2,0402,1,0402WGF1912TCE,C52036
"R3, R43, R58, R59",0402,4,0402WGF2200TCE,C25091
"R37, R38",0402,2,0402WGF5101TCE,C25905
R39,0402,1,0402WGF1000TCE,C25076
R40,0402,1,0402WGF1001TCE,C11702
"R44, R45, R46, R47, R48, R49",0402,6,CSR0402FKR500,C346785
R6,0402,1,0402WGF1200TCE,C25079
R60,0402,1,0402WGF5100TCE,C25123
"SW1, SW2, SW3, SW4",SW_TS-1088_XNP,4,TS-1088-AR02016,C720477
U1,LQFP-100_14x14mm_P0.5mm,1,STM32H723VGTx,C730142
"U12, U5, U8",BGA12C40P4X4_173X188X68,3,LMG1205YFXR,C2653814
U14,TSSOP-14_AMS-L,1,AS5047P-ATST,C962063
U15,D0008A-MFG,1,TCAN1044VDRQ1,C1852061
U2,DDC0006A-MFG,1,LMR51635XDDCR,C42432812
U3,SOT-223-3_TabPin2,1,AMS1117,C6186
"U4, U6, U7",ACS37030LLZATR020B3,3,ACS37030LLZATR-065B3,
U9,LGA14-L_2P59X3P1X0P5_STM-L,1,LSM6DSVTR,C41785564
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322512MSB4SI,C9002
